Mission name,Value,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Link,Link_full,
EQUULEUS (Equilibrium Lunar-Earth point 6U Spacecraft),地月拉格朗日点6U立方星,JAXA,Japan,6U,11/16/22,Operational,Lunar L2 (libration-point) orbiter to demonstrate technologies and characterize environment.,sat/equuleus.html,https://www.nanosats.eu/sat/equuleus.html,
LunaH-Map ( Lunar Polar Hydrogen Mapper Mission),月球极区氢绘图仪立方星,Arizona State University,US,6U,11/16/22,"Retired, Operational","Map the hydrogen content of the entire South Pole of the moon, including within permanently shadowed regions at high resolution.",sat/lunah-map.html,https://www.nanosats.eu/sat/lunah-map.html,
Lunar IceCube (Lunar Ice Cube Orbiter),月球冰立方卫星,Morehead State University,US,6U,11/16/22,Was operational,Prospect for water ice and other lunar volatiles from a low-perigee lunar orbit,sat/lunar-icecube.html,https://www.nanosats.eu/sat/lunar-icecube.html,
"LunIR (SkyFire, Lunar InfraRed imaging)",月球红外成像立方星,Lockheed Martin,US,6U,11/16/22,Was semi-operational,Lunar fly-by to collect spectroscopy and thermography using mid-wave infra-red sensor.,sat/lunir.html,https://www.nanosats.eu/sat/lunir.html,
Miles,迈尔斯,Team Miles / Tampa Hackerspace,US,6U,11/16/22,Semi-operational,Demonstrate iodine-fueled plasma thruster.,sat/miles.html,https://www.nanosats.eu/sat/miles.html,
"NEA-Scout (Near Earth Asteroid Scout, NEA SCOUT)",近地小行星侦察兵卫星,NASA Marshall Space Flight Center,US,6U,11/16/22,No signal,Rendezvous with an asteroid using solar sail and gather detailed imagery.,sat/nea-scout.html,https://www.nanosats.eu/sat/nea-scout.html,
OMOTENASHI,好客号,University of Tokyo,Japan,6U,11/16/22,Was semi-operational,Demonstrate the technology for low-cost and very small spacecraft to explore the lunar surface with a landing probe.,sat/omotenashi.html,https://www.nanosats.eu/sat/omotenashi.html,
DANTESat,但丁卫星,NPC SpaceMind,Italy,3U,11/26/22,"Reentered, Was operational",Provide a cultural dissemination about Dante Alighieri Divine Comedy; the opera is engraved on metallic boards on the satellite.,sat/dantesat.html,https://www.nanosats.eu/sat/dantesat.html,
HSKSAT (HSKSAY),原田精机卫星,HSK Amateur Radio Club (Harada Seiki Kogyo),Japan,3U,11/26/22,"Reentered, Operational",Experiment with high speed communication techniques over the amateur radio community.,sat/hsksat.html,https://www.nanosats.eu/sat/hsksat.html,
"LORIS (DUCS, Dalhousie University CubeSat)",低轨道侦察图像卫星,Dalhousie University,Canada,2U,11/26/22,"Reentered, Was semi-operational, ?",Educational mission and demonstrate CubeSat platform technologies.,sat/loris.html,https://www.nanosats.eu/sat/loris.html,
MARIO (Measurement of Actuator Response and Impedance on Orbit),在轨致动器响应和阻抗测量卫星,University of Michigan,US,3U,11/26/22,"Reentered, Operational",Characterize the behavior and degradation of macro-fiber composite materials.,sat/mario.html,https://www.nanosats.eu/sat/mario.html,
NutSat,低轨侦察成像卫星,National Formosa University,Taiwan,2U,11/26/22,"Reentered, Operational",Educational and amateur radio mission.,sat/nutsat.html,https://www.nanosats.eu/sat/nutsat.html,
OPTIMAL-1,最优1号,ArkEdge Space,Japan,3U,11/26/22,"Reentered, Operational","Demonstrate CubeSat platform, nano-propulsion system, and camera.",sat/optimal-1.html,https://www.nanosats.eu/sat/optimal-1.html,
"ORCASat (ORCA2Sat, ORCA2Sa, Optical and radio calibration of atmospheric attenuation CubeSat, Optical and Radio Calibration Satellite, Optical Reference Calibration Satellite)",虎鲸号,University of Victoria,Canada,2U,11/26/22,"Reentered, Operational, ?",Calibrate optical and radio observatories in to reduce uncertainties in measurements of the Universe expansion rate.,sat/orca2sat.html,https://www.nanosats.eu/sat/orca2sat.html,
PetitSat (Plasma Enhancements in The Ionosphere-Thermosphere Satellite),电离层-热层等离子体增强卫星,NASA Goddard Space Flight Center,US,6U,11/26/22,"Reentered, Was operational, ?","Provide in-situ measurements of plasma density, 3D ion drift, as well as ion and neutral composition.",sat/petitsat.html,https://www.nanosats.eu/sat/petitsat.html,
SPORT (Scintillation Prediction Observations Research Task),闪烁预测观测研究任务,NASA Marshall Space Flight Center,US,6U,11/26/22,"Reentered, Operational",Investigate the state of the ionosphere that leads to the growth of plasma bubbles.,sat/sports.html,https://www.nanosats.eu/sat/sports.html,
SS-1 (Surya Satellite 1),苏里亚卫星1号,Surya University,Indonesia,1U,11/26/22,"Reentered, Was operational",Satellite able to beacon and digipeat Automatic Package Reporting System (APRS) signal.,sat/ss-1.html,https://www.nanosats.eu/sat/ss-1.html,
Thybolt-1,蒂博特1号,Dhruva Space,India,0.5U,11/26/22,Operational,Novel Store-and-Forward payload receiving messages from sensor nodes or remote Ground Stations.,sat/thybolt.html,https://www.nanosats.eu/sat/thybolt.html,
TJREVERB (TJ REVERB),托马斯杰斐逊高中科研教育评估无线电广播卫星,Thomas Jefferson High School for Science and Technology,US,2U,11/26/22,"Reentered, No signal",Educational training and amateur radio communications.,sat/tjreverb.html,https://www.nanosats.eu/sat/tjreverb.html,
"CAS-5A (Fengtai-OSCAR 118, FO-118)",丰台少年二号,CAMSAT (Chinese Amateur Satellite Group),China,6U,12/9/22,Operational,Amateur radio communications and deploy femtosatellite CAS-5B.,sat/cas-5a.html,https://www.nanosats.eu/sat/cas-5a.html,
CAS-5B,中国业余无线电卫星5B,CAMSAT (Chinese Amateur Satellite Group),China,0.5 kg,12/9/22,"On spacecraft, ?",A femto-satellite architecture 90Lx80Wx50H mm with mass: 0.5kg. Deployed from CAS-5A.,sat/cas-5b.html,https://www.nanosats.eu/sat/cas-5b.html,
Lunar Flashlight,月球手电筒,NASA Jet Propulsion Laboratory,US,6U,12/11/22,Operational,Illuminate permanently-shadowed regions and detect water ice absorption bands in the near-infrared.,sat/lunar-flashlight.html,https://www.nanosats.eu/sat/lunar-flashlight.html,
BDSAT-2,BD卫星2号,Central European Institute of Technology (CEITEC),Czech,1U,1/3/23,Operational,Verify and qualify pressure sensor devices for use in open space conditions.,sat/bdsat-2.html,https://www.nanosats.eu/sat/bdsat-2.html,
"BROS A (Birkeland, Binational Radiofrequency Observing Satellites, MilSpace-2)",毫空间2-1,Norway Defence Research Establishment,Norway,6U,1/3/23,Operational,Measure the time difference between detecting the signals and the angle of signal arrival to geolocate its source.,sat/bros.html,https://www.nanosats.eu/sat/bros.html,
FUTURA-SM1,富图拉SM1,NPC SpaceMind,Italy,3U,1/3/23,"Reentered, Operational","Demonstrate NPC SPACEMIND 3U platform along with ARTICA, an innovative deorbiting sail device.",sat/futura-sm1.html,https://www.nanosats.eu/sat/futura-sm1.html,
FUTURA-SM3 (NPC 6U CubeSat),富图拉SM3,NPC SpaceMind,Italy,6U,1/3/23,"Reentered, Operational, ?",Aims at in-orbit demonstrating the NPC SPACEMIND 6U compatible deorbiting sail device.,sat/futura-sm3.html,https://www.nanosats.eu/sat/futura-sm3.html,
Gama Alpha,伽马1号,Gama,France,6U,1/3/23,Operational,Test the deployment of a solar sail with an area of 73.3 square meters.,sat/gama-alpha.html,https://www.nanosats.eu/sat/gama-alpha.html,
Guardian - Alpha (Pushan-Alpha),巴山1号,Orbital Astronautics,UK,3U,1/3/23,Operational,Demonstrate a variety of technologies including an UltraScale+ high-performance computer.,sat/orbastro-guardian.html,https://www.nanosats.eu/sat/orbastro-guardian.html,
"Kelpie 1 (AAC-AIS-SAT-1, Clyde Orbcomm)",卡尔比1号,AAC Clyde Space,UK,3U,1/3/23,Operational,Space-as-a-service model to build and operate spacecraft and sell AIS data exclusively to ORBCOMM.,sat/kelpie.html,https://www.nanosats.eu/sat/kelpie.html,
"KuwaitSat-1 (kuwaitSAT1, Kuwait Sat-1)",科威特卫星1号,Kuwait University,Kuwait,2U,1/3/23,Operational,Multi-Color Camera Payload. The mission objective is to test if the camera can be used for attitude determination and control.,sat/kuwaitsat-1.html,https://www.nanosats.eu/sat/kuwaitsat-1.html,
"MARIOT-1 (Sternula-1, Maritime IoT)",小燕鸥1号,Sternula,Denmark,6U,1/3/23,Operational,Enable communication between the ship bridge and shore using AIS 2.0 (VDES) with a big deployable VHF yagi antenna made by Space Inventor.,sat/mariot-1.html,https://www.nanosats.eu/sat/mariot-1.html,
"Menut (OpenConstellation, GENEO)",不重要,Open Cosmos,Spain,6U,1/3/23,Operational,Take images at 5 meters resolution of any place in the world.,sat/menut.html,https://www.nanosats.eu/sat/menut.html,
Platform-2 (SharedSat 2211),平台2号,EnduroSat,Bulgaria,6U,1/3/23,"Unknown, ?",Technology demonstrations and commercial payloads.,sat/platform-2.html,https://www.nanosats.eu/sat/platform-2.html,
Pleiades - Sapling Sempervirens (Sapling-1),树苗1号,Stanford University,US,1U,1/3/23,"Deployment failure, On spacecraft","Demonstrate CubeSat bus, intersatellite links and perform radio amateur mission.",sat/pleiades-sapling.html,https://www.nanosats.eu/sat/pleiades-sapling.html,
"Pleiades - Yearling (PROVES-Yearling, PROVES Yearling 1, Pleiades Rapid Orbital Verification Experimental System)",初态证明号,Cal Poly Pomona (Bronco Space),US,1U,1/3/23,"Deployment failure, On spacecraft",PROVES-Yearling is built on the PyCubed architecture and is intended to serve as a lab bench in space.,sat/pleiades-yearling.html,https://www.nanosats.eu/sat/pleiades-yearling.html,
"QBUA01 (PolyItan HP-30, PolyITAN-2-HP)",聚乙烯HP-30,Kiev National University,Ukraine,2U,1/3/23,"No signal, ?, Deployment failure, Deployment prohibited",Ukrainian educational satellite with in-house designed platform.,sat/qbua01.html,https://www.nanosats.eu/sat/qbua01.html,
"RROCI (EWS RROCI, Rapid Revisit Optical Cloud Imager)",红外光电天气系统快速巡天成像仪,U.S. Space Force,US,12U,1/3/23,"Reentered, Deployment failure",Demonstrate an Electro-Optical / Infrared (EO/IR) LEO-based cloud characterization solution that supports U.S. warfighter operations.,sat/rroci.html,https://www.nanosats.eu/sat/rroci.html,
"Sharjahsat-1 (Sharjah-Sat-1, Sharjah Sat-1)",沙迦卫星1号,University of Sharjah,United Arab Emirates,3U,1/3/23,Operational,Educational capability development mission with X-Ray Detector (iXRD) and camera payloads.,sat/sharjahsat-1.html,https://www.nanosats.eu/sat/sharjahsat-1.html,
"SPHERE-1 EYE (EYE, Star Sphere, Star Sphere-1, Sony)",眼球1号,Sony,Japan,6U,1/3/23,Operational,"Star Sphere project that seeks collaboration with artists, entertainers and educators.",sat/sony-star-sphere.html,https://www.nanosats.eu/sat/sony-star-sphere.html,
"STAR VIBE (ScanSAT, GROOVE-EVO?)",星辰颤动,Scanway,Poland,6U,1/3/23,Operational,Earth Observation constellation demo based on mirrors from range of 400nm to 12um.,sat/scansat.html,https://www.nanosats.eu/sat/scansat.html,
"TAUSAT-2 (TAU-SAT-2, TAU-SAT2, TAUSAT2, TAU-SAT3)",特拉维夫大学卫星2号,Herzliya Science Center,Israel,2U,1/3/23,Operational,Light Emitting Diodes (LEDs) for an experiment with optical tracking of objects in space.,sat/tausat-2.html,https://www.nanosats.eu/sat/tausat-2.html,
Zeus 1 (Qosmosys),宙斯1号,Qosmosys,Singapore,3U,1/3/23,"No signal, ?","Demonstrate CubeSat platform, perovskite solar cell testing, attitude control and time-capsule payload.",sat/zeus.html,https://www.nanosats.eu/sat/zeus.html,
AMAN (Oman CubeSat),阿曼1号,ETCO Space,Oman,3U,1/9/23,Launch failure,Oman’s first satellite.,sat/oman-cubesat.html,https://www.nanosats.eu/sat/oman-cubesat.html,
Amber-1 (IOD-3 AMBER),琥珀1号,Horizon Technologies,UK,6U,1/9/23,Launch failure,First of a SIGINT constellation to track vessels using an L-band Satphone detection sensor combined with radar detection.,sat/iod-3.html,https://www.nanosats.eu/sat/iod-3.html,
"CIRCE A (Coordinated Ionospheric Reconstruction CubeSat Experiment, WISCER)",电离层定位重建立方星1号,US Naval Research Laboratory,US,6U,1/9/23,Launch failure,Measure the ionosphere and radiation environment space from multiple vantage points.,sat/circe.html,https://www.nanosats.eu/sat/circe.html,
DOVER,多佛号,RHEA Group,UK,3U,1/9/23,Launch failure,Transmit new PNT signals for position or time determination.,sat/dover.html,https://www.nanosats.eu/sat/dover.html,
ForgeStar-0,伪星0号,Space Forge,UK,3U,1/9/23,Launch failure,Demonstration for future re-entry capsule technologies.,sat/forgestar-0.html,https://www.nanosats.eu/sat/forgestar-0.html,
"Prometheus-2 1 (Prometheus 2A, Dstl)",普罗米修斯-2A,Defence Science and Technology Laboratory (Dstl),UK,6U,1/9/23,Launch failure,Test platform for monitoring radio signals including GPS and sophisticated imaging.,sat/prometheus-2-uk-1.html,https://www.nanosats.eu/sat/prometheus-2-uk-1.html,
"Prometheus-2 2 (Prometheus 2B, Dstl)",普罗米修斯-2B,Defence Science and Technology Laboratory (Dstl),UK,6U,1/9/23,Launch failure,Test platform for monitoring radio signals including GPS and sophisticated imaging.,sat/prometheus-2-uk-2.html,https://www.nanosats.eu/sat/prometheus-2-uk-2.html,
"BUPT-1 (Beiyou-1, Beiyou No. 1, Beiyou 1, BEIYOU1, Baoyun, Tiansuan Constellation)",北邮一号,Beijing University of Posts and Telecommunications,China,12U,1/15/23,"Unknown, ?",Beiyou No. 1 is the first satellite of Tiansuan constellation.,sat/beiyou-1.html,https://www.nanosats.eu/sat/beiyou-1.html,
Golden Bauhinia No. 3 (Jinzijing 3),金紫荆卫星,Hong Kong Aerospace Science and Technology Group,China,3U,1/15/23,"Unknown, ?",The two scientific satellites of Golden Bauhinia No. 3/4 are 3U nano-satellites customized by Hangsheng Satellite according to customer needs,sat/golden-bauhinia.html,https://www.nanosats.eu/sat/golden-bauhinia.html,
Tianzhi-2 D (Tianzhi II),天智二号D星,Hangsheng Satellite,China,20U,1/15/23,"Unknown, ?",Tianzhi-2 D star (Rizhao No. 3 satellite) is the first satellite of the software-defined shared constellation.,sat/tianzhi-2-d.html,https://www.nanosats.eu/sat/tianzhi-2-d.html,
AzaadiSAT 2 (AZAADISAT-2),阿扎迪卫星2号,Space Kidz India,India,9 kg,2/10/23,"Reentered, Was operational",Carries 75 different payloads each weighing around 50 grams and conducting femto-experiments. Girl students from rural regions across the country were provided guidance to build these payloads.,sat/azaadisat-2.html,https://www.nanosats.eu/sat/azaadisat-2.html,
Janus 1 (JANUS-1),杰纳斯1号,Antaris,US,6U,2/10/23,"Reentered, Operational",The satellite features five payloads from a range of global providers.,sat/janus-1.html,https://www.nanosats.eu/sat/janus-1.html,
ARKSAT-1 (ARKSAT 1),阿肯色卫星1号,University of Arkansas,US,1U,3/14/23,"Reentered, Was semi-operational",Xenon flash bulb as the calibrated source for ground tracking and demonstrate deorbiting.,sat/arksat-1.html,https://www.nanosats.eu/sat/arksat-1.html,
AuroraSat,极光卫星(加拿大),Aurora College,Canada,3U,3/14/23,"Reentered, No signal",Promote and share indigenous culture across Canada through northern images.,sat/aurorasat.html,https://www.nanosats.eu/sat/aurorasat.html,
"Ex-Alta 2 (AlbertaSat-2, Experimental Albertan #2, EX-ALTA-2)",阿尔伯塔试验星2号,University of Alberta,Canada,3U,3/14/23,"Reentered, No signal",Expand open-source platform and test imaging camera for wildfires.,sat/ex-alta-2.html,https://www.nanosats.eu/sat/ex-alta-2.html,
LightCube,光线立方,Arizona State University,US,1U,3/14/23,"Reentered, Operational",Education mission to allow a CubeSat in to be easily operable by general public and produce a light visible to the naked eye of observers on Earth.,sat/lightcube.html,https://www.nanosats.eu/sat/lightcube.html,
NEUDOSE ( NEUtron DOSimetry & Exploration),中子剂量测定卫星,McMaster University,Canada,2U,3/14/23,"Reentered, Was operational",Investigates radiation doses that astronauts would experience during extravehicular activities (EVAs).,sat/neudose.html,https://www.nanosats.eu/sat/neudose.html,
YukonSat,育空卫星,Yukon College,Canada,2U,3/14/23,"Reentered, No signal",Coding challenges to transmit and receive short voice recordings.,sat/yukonsat.html,https://www.nanosats.eu/sat/yukonsat.html,
"Jinta ( iTaikong Science, Hong Kong Knowledge, Ai Taikong Kexue, “love space science”)",香港知识星,Hunan Hangsheng Satellite Technology,China,4U,4/2/23,Operational,"Payloads include cameras, propulsion and on-orbit wireless charging demonstration.",sat/jinta.html,https://www.nanosats.eu/sat/jinta.html,
Brokkr-1 (ORBASTRO-AF-1),布洛克1号,Astro Forge,US,6U,4/15/23,Operational,Test technology to extract metals from asteroid materials.,sat/brokkr-1.html,https://www.nanosats.eu/sat/brokkr-1.html,
CIRBE (Colorado Inner Radiation Belt Experiment),内辐射带试验立方星,University of Colorado Boulder,US,3U,4/15/23,Operational,Understand the formation of the inner belt electrons.,sat/cirbe.html,https://www.nanosats.eu/sat/cirbe.html,
Connecta T2.1,连接T2.1,Plan-S,Turkey,6U,4/15/23,Operational,Connecta T2.1 is to implement its innovative Earth observation missions with high-resolution multispectral cameras and IoT connectivity.,sat/connecta-t2.1.html,https://www.nanosats.eu/sat/connecta-t2.1.html,
"DEWA-SAT 2 (Space-D DEWA 6U, DEWASAT-2)",迪拜水电局卫星2号,Dubai Electricity and Water Authority (DEWA),United Arab Emirates,6U,4/15/23,Operational,Earth Observation (EO) payload .,sat/space-d-dewa-6u.html,https://www.nanosats.eu/sat/space-d-dewa-6u.html,
DISCO-1 (Danish Student CubeSat Program),迪斯科1号,Aarhus University,Denmark,1U,4/15/23,Operational,Flying student experiments for in-orbit testing.,sat/disco.html,https://www.nanosats.eu/sat/disco.html,
ELO 3 (Eutelsat LEO for Objects),欧卫通低轨物联3号,Eutelsat,US,6U,4/15/23,"Operational, ?",Narrowband system to evaluate the pros and cons of IoT constellation.,sat/elo-clyde.html,https://www.nanosats.eu/sat/elo-clyde.html,
"EPICHyper-1 (Wyvern-1, Dragonette-001)",超级史诗1号,AAC Clyde Space,UK,6U,4/15/23,Operational,AAC Clyde Space is building Wyvern’s first three satellites,sat/wyvern-cubesats.html,https://www.nanosats.eu/sat/wyvern-cubesats.html,
"INSPIRE-Sat 7 (INSPIRE-Sat-7, InspireSat 7)",启灵7号,University of Versailles Saint-Quentin-en-Yvelines (UVSQ),France,2U,4/15/23,Operational,Educational mission with ionospheric sensors and radio amateur mission.,sat/inspire-sat-7.html,https://www.nanosats.eu/sat/inspire-sat-7.html,
IRIS-C,智能遥感与互联网卫星C,National Cheng Kung University,Taiwan,3U,4/15/23,Operational,Educational mission with star tracker and S-band radio.,sat/iris-c.html,https://www.nanosats.eu/sat/iris-c.html,
It’s About Time,是时候了,TrustPoint,US,3U,4/15/23,"Unknown, ?","First commercially funded, purpose-built PNT microsatellite.",sat/trustpoint-its-about-time.html,https://www.nanosats.eu/sat/trustpoint-its-about-time.html,
KILICSAT (KILIÇSAT),克里克卫星,GUMUSH,Turkey,3U,4/15/23,Operational,Collecting Ship`s AIS message and demonstrate LNA Module.,sat/kilicsat.html,https://www.nanosats.eu/sat/kilicsat.html,
Lemur-2 162 ONREFLECTION (KAUST),狐猴卫星2-162,King Abdullah University of Science and Technology (KAUST),Saudi Arabia,6U,4/15/23,Operational,"Collect high-quality and high-resolution data across global terrestrial, coastal and ocean ecosystems and to help observe and characterize natural resources.",sat/lemur-2-kaust.html,https://www.nanosats.eu/sat/lemur-2-kaust.html,
"Lemur-2 164 SPACEGUS, (Adler-2, GAPMAP, GAPMAP-0, LMR2372. FM171)",阿德勒2号,Austrian Space Forum (OeWF),Austria,6U,4/15/23,Operational,Provide insights into space debris in low Earth orbit (LEO) and expand novel atmospheric sensing capabilities to study clouds and aerosols in the atmosphere.,sat/lemur-2-adler-2.html,https://www.nanosats.eu/sat/lemur-2-adler-2.html,
LLITED A (Low-Latitude Ionosphere/Thermosphere Enhancement in Density),低纬电离层热层密度强化1号,Aerospace Corporation,US,1.5U,4/15/23,Operational,Provide related to the Equatorial Ionization Anomaly (EIA) and the Equatorial Temperature and Wind Anomaly (ETWA).,sat/llited.html,https://www.nanosats.eu/sat/llited.html,
LS2f (LS3C),空隙卫星2f,Lacuna Space,UK,3U,4/15/23,Operational,"Features Lacuna Space’s payload technology utilising LoRaWAN® wireless technology to provide long-range, low-power connectivity for IoT devices around the world.",sat/ls2f.html,https://www.nanosats.eu/sat/ls2f.html,
"Platform-3 (Sateliot-0, Sateliot_0, GroundBreaker)",平台3号,EnduroSat,Bulgaria,6U,4/15/23,"Operational, ?",Technology demonstrations and commercial payloads.,sat/platform-3.html,https://www.nanosats.eu/sat/platform-3.html,
"Pleiades - Sapling Giganteum (Sapling-2, Sapling2)",树苗2号,Stanford University,US,1U,4/15/23,Was operational,"Demonstrate CubeSat bus, intersatellite links and perform radio amateur mission.",sat/pleiades-sapling-2.html,https://www.nanosats.eu/sat/pleiades-sapling-2.html,
"Pleiades Yearling 2.0 (Pleiades - Squared, PROVES Yearling 2, Pleiades Yearling)",初态证明2号,Cal Poly Pomona (Bronco Space),US,1U,4/15/23,Was operational,Fly CubeSat bus and expand on the Pleiades cluster.,sat/pleiades-yearling-2.html,https://www.nanosats.eu/sat/pleiades-yearling-2.html,
REVELA,雷韦拉,ARCA Dynamics,US,3U,4/15/23,"Was operational, ?",Demonstrate cutting-edge image processing algorithms.,sat/revela.html,https://www.nanosats.eu/sat/revela.html,
RoseyCubesat-1,罗塞立方星1号,Orbital Solutions Monaco,Monaco,1U,4/15/23,Operational,Educational mission with a camera and amateur radio activities.,sat/roseycubesat-1.html,https://www.nanosats.eu/sat/roseycubesat-1.html,
SSS-2B,大学生小卫星2B,TUBITAK-UZAY (TÜBİTAK Space Technologies Research Institute),Turkey,3U,4/15/23,Operational,Educational training and capacity building in space technology development.,sat/sss-2b.html,https://www.nanosats.eu/sat/sss-2b.html,
TAIFA-1,泰发1号,SayariLabs,Kenya,3U,4/15/23,"No signal, ?",First Kenyan 3U software-defined NanoSat with imager payload.,sat/taifa-1.html,https://www.nanosats.eu/sat/taifa-1.html,
VCUB1,V立方1号,Visiona Tecnologia Espacial,Brazil,6U,4/15/23,Operational,Demonstrate Visiona's ability to design high-performance space systems.,sat/vcub1.html,https://www.nanosats.eu/sat/vcub1.html,
VIREO (Virtual Intelligence Realization for Earth Observatory),虚拟智能地球天文台,C3S,Hungary,3U,4/15/23,Operational,"Collaborative project between C3S and AIMotive a leading provider of camera-first, AI powered, Level 5 autonomous driving technology.",sat/vireo.html,https://www.nanosats.eu/sat/vireo.html,
Lumelite-4,光亮4号,Agency for Science Technology and Research (A*STAR),Singapore,12U,4/22/23,Operational,On-orbit demonstration of a space-based VHF Data Exchange System (VDES) for maritime users.,sat/lumelite-4.html,https://www.nanosats.eu/sat/lumelite-4.html,
"GS-1 (G-Space 1, Gravity Space 1, Nusantara H-1A, OrbitGuard1, Orbit Guard #1)",G空间1号,Gravity Space,US,16U,5/1/23,Operational,Multiple hosted payloads destined for GEO orbit.,sat/g-space-1.html,https://www.nanosats.eu/sat/g-space-1.html,
Dalian-1 Lianli,大连1号—连理卫星,Dalian University of Technology,China,12U,5/10/23,"On spacecraft, ?","Verify high-resolution remote sensing imaging, domestic high-reliability OpenHarmony operating system, advanced satellite components and 3D printing technology.",sat/dalia-1-lianli.html,https://www.nanosats.eu/sat/dalia-1-lianli.html,
"Parus-MGTU (Parus-MSTU, RS2S)",山雀-鲍曼,Bauman Moscow State Technical University,Russia,1U,5/24/23,"Reentered, Operational",Test a deployment mechanism for an experimental solar sail.,sat/parus-mgtu.html,https://www.nanosats.eu/sat/parus-mgtu.html,
JLC-101-v1-2,JLC-101-v1-2,Justec,South Korea,3U,5/25/23,No signal,Earth-observation technology demonstration.,sat/jlc-101-v1-2.html,https://www.nanosats.eu/sat/jlc-101-v1-2.html,
"KASI Sat A (SNIPE 1, Small scale magNetospheric and Ionospheric Plasma Experiment)",狙击1号,Korea Astronomy and Space Science Institute (KASI),South Korea,6U,5/25/23,Operational,Identifying temporal and spatial variation of small scale plasma structures in Ionosphere and Magnetosphere.,sat/kasi-sat.html,https://www.nanosats.eu/sat/kasi-sat.html,
KSAT3U,韩国3U卫星,Kairo Space,South Korea,3U,5/25/23,Operational,Earth observation and weather monitoring cubesat.,sat/ksat3u.html,https://www.nanosats.eu/sat/ksat3u.html,
Lumir-T1,卢米T1,Lumir,South Korea,6U,5/25/23,Operational,Cosmic radiation monitoring cubesat.,sat/lumir-t1.html,https://www.nanosats.eu/sat/lumir-t1.html,
ESSENCE (Educational Space Science and Engineering CubeSat Experiment),精华号,York University,Canada,3U,6/5/23,No signal,Test a Canadian-developed wide-angle camera to observe snow and ice coverage in Northern Canada.,sat/essence.html,https://www.nanosats.eu/sat/essence.html,
"Iris (Manitoba SAT-1, ManitobaSat-1, MBCubeSat-1)",鸢尾号,University of Manitoba,Canada,3U,6/5/23,No signal,Study how space conditions affect the composition of asteroids and the Moon.,sat/manitobasat-1.html,https://www.nanosats.eu/sat/manitobasat-1.html,
Maya-5,玛雅5号,STeP UP University of the Philippines,Philippines,1U,6/5/23,"Reentered, Semi-operational, ?","Philippines second set of nanosatellites developed in-country, with an aim to slowly transition to completely developing the nanosatellites locally.",sat/maya-5-6.html,https://www.nanosats.eu/sat/maya-5-6.html,
Moonlighter,月光人号,Aerospace Corporation,US,3U,6/5/23,Operational,Provide the national security space community with the ability to test and learn in realtime in orbit.,sat/moonlighter.html,https://www.nanosats.eu/sat/moonlighter.html,
RADSAT-SK (IDRSat),弧度卫星-SK,University of Saskatchewan,Canada,2U,6/5/23,"Reentered, No signal","Study how materials degrade in space by studying material changes in colour, texture, brittleness, and electrical conductivity.",sat/radsat-sk.html,https://www.nanosats.eu/sat/radsat-sk.html,
"SC-ODIN (Aleksandr III, Space Concordia's Orbital Dust Imaging Nanosat)",SC轨道尘埃成像纳卫星,Concordia University,Canada,3U,6/5/23,No signal,Test an imaging instrument to collect data on dust measurements and study the effect of climate change in the Kluane Lake region.,sat/sc-odin.html,https://www.nanosats.eu/sat/sc-odin.html,
Ukpik-1 (Western University – Nunavut Arctic College CubeSat Project),萌头鹰1号,The University of Western Ontario,Canada,2U,6/5/23,"Reentered, No signal",Educational mission to flight-test a novel imaging system to provide virtual reality-ready images.,sat/ukpik-1.html,https://www.nanosats.eu/sat/ukpik-1.html,
CXPD (Cosmic X-ray Polarization Detection),X射线偏振探测立方星,Guangxi University,China,1U,6/7/23,Operational,Test the low energy polarization detector prototype for the POLAR-2 gamma ray polarimeter.,sat/cxpd.html,https://www.nanosats.eu/sat/cxpd.html,
Ayris 1 (AYRIS-1),艾尔里斯1号,?,Israel,6U,6/12/23,Operational,Two 6U nanosatellites for a technology demonstration mission.,sat/ayris.html,https://www.nanosats.eu/sat/ayris.html,
EIVE (Exploratory In-Orbit Verification of an E / W Band Satellite Communication Link),EW波段通讯验证卫星,University of Stuttgart,Germany,6U,6/12/23,Operational,Demonstrate radio link in the E-band at 71 - 76 GHz between a satellite and a ground station.,sat/eive.html,https://www.nanosats.eu/sat/eive.html,
FOSSASat FEROX 1 (FOSSASAT2E14),福萨卫星FEROX 1,Fossa Systems,Spain,FEROX (1/4U x 3U x 2U),6/12/23,Operational,Offers global low-power Internet of Things (IoT) connectivity and in-space services through its satellite constellation,sat/fossasat-ferox.html,https://www.nanosats.eu/sat/fossasat-ferox.html,
GEI-SAT Precursor (GEISAT),GEI卫星先驱,SATLANTIS,Spain,16U,6/12/23,Operational,"The satellite is an iSIM-SAT 16U-CubeSat, equipped with an iSIM-90 camera onboard.",sat/gei-sat.html,https://www.nanosats.eu/sat/gei-sat.html,
Istanbul,伊斯坦布尔号,Hello Space,Turkey,PocketQube 1p,6/12/23,"Operational, ?",Fleet of low-cost ‘PocketQube’ satellites to deliver global data services from orbit.,sat/istanbul.html,https://www.nanosats.eu/sat/istanbul.html,
"Lemur-2 Embrionovis (Forest-2, Forest Observation and Recognition Experimental Smallsat Thermal Detector)",狐猴卫星2-167,OroraTech,Germany,6U,6/12/23,Operational,Carry OroraTech’s first unique and proprietary thermal-infrared camera and data processing unit.,sat/lemur-2-forest-2.html,https://www.nanosats.eu/sat/lemur-2-forest-2.html,
